name,number,status
Low Impact Monitoring for CPython,669,Final
Platform Tag for Linux Distributions Using Musl,656,Final
Marking individual TypedDict items as required or potentially-missing,655,Final
Include Fine Grained Error Locations in Tracebacks,657,Final
Maintaining the Stable ABI,652,Final
User-Defined Type Guards,647,Final
Variadic Generics,646,Final
Require OpenSSL 1.1.1 or newer,644,Final
Metadata for Package Source Distributions,643,Final
Versioning PyPI’s Simple API,629,Final
Improving License Clarity with Better Package Metadata,639,Final
Deprecate distutils module,632,Final
Structural Pattern Matching: Specification,634,Final
Add ,628,Final
Recording installed projects,627,Final
Remove wstr from Unicode,623,Final
Precise line numbers for debugging and other tools.,626,Final
Remove Py_UNICODE encoder APIs,624,Final
Add Optional Length-Checking To zip,618,Final
Storing project metadata in pyproject.toml,621,Final
New PEG parser for CPython,617,Final
String methods to remove prefixes and suffixes,616,Final
Support for the IANA Time Zone Database in the Standard Library,615,Final
Relaxing Grammar Restrictions On Decorators,614,Final
Explicit Type Aliases,613,Final
Parameter Specification Variables,612,Final
Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,600,Final
Recording the Direct URL Origin of installed distributions,610,Final
Allow writing union types as ,604,Final
Removing dead batteries from the standard library,594,Final
Flexible function and variable annotations,593,Final
Add optional EncodingWarning,597,Final
Adding “Yank” Support to the Simple API,592,Final
Adding a final qualifier to typing,591,Final
Python Initialization Configuration,587,Final
TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,589,Final
Literal Types,586,Final
Type Hinting Generics In Standard Collections,585,Final
Add Union Operators To dict,584,Final
Python Runtime Audit Hooks,578,Final
Module State Access from C Extension Methods,573,Final
Python Positional-Only Parameters,570,Final
Pickle protocol 5 with out-of-band data,574,Final
Assignment Expressions,572,Final
Context Variables,567,Final
Show DeprecationWarning in __main__,565,Final
Add new time functions with nanosecond resolution,564,Final
Metadata for Python Software Packages 2.1,566,Final
Core support for typing module and generic types,560,Final
Built-in breakpoint(),553,Final
Module __getattr__ and __dir__,562,Final
Data Classes,557,Final
Distributing and Packaging Type Information,561,Final
Add a new UTF-8 Mode,540,Final
Deterministic pycs,552,Final
A New C-API for Thread-Local Storage in CPython,539,Final
Protocols: Structural subtyping (static duck typing),544,Final
Coercing the legacy C locale to a UTF-8 based locale,538,Final
Asynchronous Comprehensions,530,Final
Change Windows filesystem encoding to UTF-8,529,Final
Change Windows console encoding to UTF-8,528,Final
Removing Un(der)used file types/extensions on PyPI,527,Final
Make os.urandom() blocking on Linux,524,Final
Syntax for Variable Annotations,526,Final
Asynchronous Generators,525,Final
Preserving Class Attribute Definition Order,520,Final
Adding a frame evaluation API to CPython,523,Final
Adding a file system path protocol,519,Final
Specifying Minimum Build System Requirements for Python Projects,518,Final
Underscores in Numeric Literals,515,Final
A build-system independent format for source trees,517,Final
Dependency specification for Python Software Packages,508,Final
Adding A Secrets Module To The Standard Library,506,Final
Simple Repository API,503,Final
Literal String Interpolation,498,Final
Local Time Disambiguation,495,Final
HTTPS verification migration tools for Python 2.7,493,Final
A Function for testing approximate equality,485,Final
Make the Python Launcher aware of virtual environments,486,Final
Elimination of PYO files,488,Final
Simpler customisation of class creation,487,Final
Coroutines with async and await syntax,492,Final
Multi-phase extension module initialization,489,Final
Type Hints,484,Final
Change StopIteration handling inside generators,479,Final
Network Security Enhancements for Python 2.7.x,466,Final
Preserving the order of **kwargs in a function.,468,Final
Backport ensurepip (PEP 453) to Python 2.7,477,Final
Enabling certificate verification by default for stdlib http clients,476,Final
Retry system calls failing with EINTR,475,Final
os.scandir() function – a better and faster directory iterator,471,Final
Adding % formatting to bytes and bytearray,461,Final
A dedicated infix operator for matrix multiplication,465,Final
Additional Unpacking Generalizations,448,Final
Add a new tracemalloc module to trace Python memory allocations,454,Final
Explicit bootstrapping of pip in Python installations,453,Final
Adding A Statistics Module To The Standard Library,450,Final
A ModuleSpec Type for the Import System,451,Final
Add new APIs to customize Python memory allocators,445,Final
Make newly created file descriptors non-inheritable,446,Final
Secure and interchangeable hash algorithm,456,Final
Single-dispatch generic functions,443,Final
Safe object finalization,442,Final
Improving Python ZIP Application Support,441,Final
The Argument Clinic DSL,436,Final
Version Identification and Dependency Specification,440,Final
The pathlib module – object-oriented filesystem paths,428,Final
The Wheel Binary Package Format 1.0,427,Final
Adding an Enum type to the Python standard library,435,Final
A method for exposing a length hint,424,Final
Adding sys.implementation,421,Final
Compatibility Tags for Built Distributions,425,Final
Implement context suppression with exception attributes,415,Final
Implicit Namespace Packages,420,Final
"Add monotonic time, performance counter, and process time functions",418,Final
Including mock in the Standard Library,417,Final
Explicit Unicode Literal for Python 3.3,414,Final
Key-Sharing Dictionary,412,Final
Suppressing exception context,409,Final
Python launcher for Windows,397,Final
Dictionary-Based Configuration For Logging,391,Final
Python Virtual Environments,405,Final
Flexible String Representation,393,Final
Defining a Stable ABI,384,Final
argparse - New Command Line Parsing Module,389,Final
Syntax for Delegating to a Subgenerator,380,Final
Non-decodable Bytes in System Character Interfaces,383,Final
Format Specifier for Thousands Separator,378,Final
Database of Installed Python Distributions,376,Final
Addition of the multiprocessing package to the standard library,371,Final
Per user site-packages directory,370,Final
Main module explicit relative imports,366,Final
Function Signature Object,362,Final
Adding an ordered dictionary to collections,372,Final
Allowing Any Object to be Used for Slicing,357,Final
The “bytes” Object,358,Final
Executing modules as scripts,338,Final
Required Superclass for Exceptions,352,Final
Using ssize_t as the index type,353,Final
The “with” Statement,343,Final
Coroutines via Enhanced Generators,342,Final
Unifying try-except and try-finally,341,Final
Imports: Multi-Line and Absolute/Relative,328,Final
Locale-Independent Float/String Conversions,331,Final
Reverse Iteration,322,Final
Simplified Global Interpreter Lock Acquisition for Extensions,311,Final
subprocess - New process module,324,Final
Decorators for Functions and Methods,318,Final
Decimal Data Type,327,Final
Partial Function Application,309,Final
Conditional Expressions,308,Final
Extensions to the pickle protocol,307,Final
CSV File API,305,Final
New Import Hooks,302,Final
Package Index and Metadata for Distutils,301,Final
Generator Expressions,289,Final
Simpler String Substitutions,292,Final
Codec Error Handling Callbacks,293,Final
Adding a bool type,285,Final
A Logging System,282,Final
The enumerate() built-in function,279,Final
Universal Newline Support,278,Final
Unicode file name support for Windows NT,277,Final
Import Modules from Zip Archives,273,Final
Future statements in simulated shells,264,Final
Dict Comprehensions,274,Final
Support for “wide” Unicode characters,261,Final
Defining Python Source Code Encodings,263,Final
Simplify xrange(),260,Final
Simple Generators,255,Final
Making Types Look More Like Classes,252,Final
Subtyping Built-in Types,253,Final
Using site-packages on Windows,250,Final
Changing the Division Operator,238,Final
Unifying Long Integers and Integers,237,Final
Import on Case-Insensitive Platforms,235,Final
Back to the __future__,236,Final
Iterators,234,Final
Function Attributes,232,Final
Warning Framework,230,Final
Using Distutils to Build Python,229,Final
Statically Nested Scopes,227,Final
Change the Meaning of ,223,Final
Import As,221,Final
Adding a Built-In Set Object Type,218,Final
Display Hook for Interactive Use,217,Final
Rich Comparisons,207,Final
Reworking the Coercion Model,208,Final
Extended Print Statement,214,Final
Weak References,205,Final
Augmented Assignments,203,Final
List Comprehensions,202,Final
Lockstep Iteration,201,Final
Python Unicode Integration,100,Final
Calendar versioning for Python,2026,Draft
Removing the LLVM requirement for JIT builds,774,Draft
Preventing task-cancellation bugs by limiting yield in async generators,789,Draft
How to Re-invent the Wheel,777,Draft
A Python Installation Manager for Windows,773,Draft
Default Extras for Python Software Packages,771,Draft
Improving measurability of Python packages with Software Bill-of-Materials,770,Draft
"Add a ‘default’ keyword argument to ‘attrgetter’, ‘itemgetter’ and ‘getitem’",769,Draft
Safe external debugger interface for CPython,768,Draft
Annotating Read-Only Attributes,767,Draft
Inlined typed dictionaries,764,Draft
Disallow return/break/continue that exit a finally block,765,Draft
Explicit Priority Choices Among Multiple Indexes,766,Draft
Limiting deletions on PyPI,763,Draft
Allow ,758,Draft
A file format to record Python dependencies for installation reproducibility,751,Draft
Template Strings,750,Draft
Implicit namespaces for package repositories,752,Draft
Implicit namespace policy for PyPI,755,Draft
Implementing PEP 649,749,Draft
A Unified TLS API for Python,748,Draft
Annotating Type Forms,747,Draft
Type checking Annotated metadata,746,Draft
JIT Compilation,744,Draft
 ,739,Draft
Add Py_COMPAT_API_VERSION to the Python C API,743,Draft
Shorthand syntax for keyword arguments at invocation,736,Draft
TypedDict with Typed Extra Items,728,Draft
Documentation in Annotated Metadata,727,Draft
Specifying external dependencies in pyproject.toml,725,Draft
Cross-compiling Python packages,720,Draft
Subscriptable functions,718,Draft
PyBI: a standard format for distributing Python Binaries,711,Draft
Allow parentheses in assert statements,679,Draft
Recording the provenance of installed packages,710,Draft
Syntax for late-bound function argument defaults,671,Draft
Upload 2.0 API for Python Package Indexes,694,Draft
Sentinel Values,661,Draft
Precise Semantics for Pattern Matching,653,Draft
Syntactic Macros,638,Draft
Adding a frozenmap type to collections,603,Draft
Minor API improvements for binary sequences,467,Draft
Rename dist-info-metadata in the Simple API,714,Accepted
Uniform project URLs in core metadata,753,Accepted
Surviving a Compromise of PyPI: End-to-end signing of packages,480,Draft
Making the Global Interpreter Lock Optional in CPython,703,Accepted
Syntactic formalization of f-strings,701,Accepted
Remove private dict version field added in PEP 509,699,Accepted
Make UTF-8 mode default,686,Accepted
Comparison of extra names for optional distribution dependencies,685,Accepted
JSON-based Simple API for Python Package Indexes,691,Accepted
Isolating modules in the standard library,687,Accepted
Marking Python base environments as “externally managed”,668,Accepted
Serve Distribution Metadata in the Simple Repository API,658,Accepted
Deferred Evaluation Of Annotations Using Descriptors,649,Accepted
Filename of a Source Distribution,625,Accepted
Vectorcall: a fast calling protocol for CPython,590,Accepted
2025 Term Steering Council election,8106,Final
Extending the Repository API to Mitigate Dependency Confusion Attacks,708,Provisional
Postponed Evaluation of Annotations,563,Accepted
Secure PyPI downloads with signed repository metadata,458,Accepted
2024 Term Steering Council election,8105,Final
2023 Term Steering Council election,8104,Final
2022 Term Steering Council election,8103,Final
2021 Term Steering Council election,8102,Final
2020 Term Steering Council election,8101,Final
January 2019 Steering Council election,8100,Final
The Steering Council Model,8016,Accepted
Open Source Governance Survey,8002,Final
Python Language Governance Proposal Overview,8000,Final
Reserved,801,Active
Python Web Server Gateway Interface v1.0.1,3333,Final
Python 3.14 Release Schedule,745,Active
Python 3.13 Release Schedule,719,Active
REPL-acing the default REPL,762,Final
Python 3.11 Release Schedule,664,Active
Unicode-related Security Considerations for Python,672,Active
An Evaluation of Python’s Public C API,733,Final
Python 3.12 Release Schedule,693,Active
Structural Pattern Matching: Motivation and Rationale,635,Final
Specializing Adaptive Interpreter,659,Final
Structural Pattern Matching: Tutorial,636,Final
Python 3.10 Release Schedule,619,Active
Reducing CPython’s Feature Delivery Latency,607,Final
Python 3.9 Release Schedule,596,Active
Isolating Extension Modules,630,Final
Python registration in the Windows registry,514,Active
The Theory of Type Hints,483,Final
Refactoring C functions and methods,579,Final
Literature Overview for Type Hints,482,Final
GitHub Issues Migration Plan,588,Final
Notation For Positional-Only Parameters,457,Final
API for Cryptographic Hash Functions v2.0,452,Final
IDLE Enhancement Exception for All Branches,434,Active
The “python” Command on Unix-Like Systems,394,Active
Migrating to Python 3 as the default online documentation,430,Final
Pure Python/C Accelerator Module Compatibility Requirements,399,Final
reStructuredText Docstring Format,287,Active
Python Web Server Gateway Interface v1.0,333,Final
Code Migration and Modernization,290,Active
Python Database API Specification v1.0,248,Final
API for Block Encryption Algorithms v1.0,272,Final
API for Cryptographic Hash Functions,247,Final
Docstring Conventions,257,Active
Python Database API Specification v2.0,249,Final
Doing Python Releases 101,101,Active
The Zen of Python,20,Active
Deprecating PGP signatures for CPython artifacts,761,Active
Procedure for Adding New Modules,2,Active
